competitor,ad_text,format,first_seen
Adidas,adidas Triple Jump Spikes - Extra 30% Off For Members Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. adiClub Members Get Early Sale Access. Save 30% Off Select Sale & Full-Price Items. Sweat-Wicking Technology Free Shipping For Members. Sign Up & Get 15% Off Rating for adidas.com 4.7↓ (182) Most items 30+ days Men's Shoes Samba Shop Sale adida,Search,12/11/2021
Adidas,adidas Dame 9 Shoes - Up To 40% Off adidas Favorites Shop adidas Dame 9 Shoes Today Free Shipping For Members On All Orders. Save Up To 40% On Tons Of Styles For The Year Ahead With The Back To School Sale. Signature Dame Signature Shoes adidas Dame 9 Shoes Samba,Search,12/19/2021
Adidas,adidas Originals - Save 30% I Code SUMMER Don't Miss Out On Your Favorites. Order From The Official adidas Store. Use Code SUMMER At Women's Shoes Men's Shoes Shop Sale adidas Women's Bestsellers,Search,1/25/2022
Adidas,Skorts - Summer Sale I Up To 40% Off Free Shipping For Members On All Orders. Shop adidas Stylish Skorts Today. Shop adidas Summer Essentials Now Up To 4o% Off. No Code Needed,Search,2/22/2022
Adidas,adidas? Women's Shoes - Extra 30% Off I Code SAVE Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save An Women's Shoes Samba Shop Sale Bestsellers,Search,6/28/2022
Adidas,adidas New Jackets - Save On adidas Favorites Free Shipping For Members On All Orders. Shop adidas Stylish Jackets Today,Search,6/29/2022
Adidas,adidas Fleece Hoodies - Save 30% l Code DEAL Free Shipping For Members On All Orders. Shop adidas Fleece Hoodies Today. Save 30% On Select Items With Code DEAL. Sport & Originals Designs. Free Returns & Exchanges. Maximize Your Workouts,Search,6/29/2022
Adidas,adidas Boys Clothing - Save 25% l Code SUMMER Shop adidas Stylish Clothing Today. Free Shipping For Members On All Orders. Save 25% On Select Full & Sale Price Items With Code SUMMER. Sport & Originals Designs. Maximize Your Workouts. Free Returns & Exchanges Shop Boys Clothing Shop Sale Shop The Official Site New Arrivals Bestsellers,Search,6/29/2022
Adidas,adidas Kid's Tracksuits - Up To 40% Off adidas Favorites Free Shipping For Members On All Orders. Shop adidas Stylish Tracksuits Today. Save Up To 40% On Tons Of Styles For The Year Ahead With The Back To School Shop Kids Tracksuits Kids Best Sellers adidas Kids Shoes,Search,6/29/2022
Adidas,"adidas Mens Sweatshirts - Save 25% l Code SUNNY Free Shipping For Members On All Orders. Shop adidas Stylish Sweatshirts Today Originals Shop Iconic adidas Styles. Men's & Women's Sneakers & Apparel Shop Sale Shop Our Sale Styles Today. Discounts For Men, Women, & Kids Bestsellers New Arrivals",Search,6/29/2022
Adidas,adidas? Toddler Apparel - Up To 50% Off Select Products Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Shop For Back To School With Up To 50% Off Select Items,Search,6/29/2022
Adidas,"adidas Shorts - Summer Sale I Up To 40% Off Shop adidas Shorts Today. Free Shipping For Members On All Orders Women's New Arrivals Shop Now For The Latest Women's Shoes Apparel & More Online Bestsellers Shop adidas Bestsellers. Clothes, Shoes, & More Shop Our Selection Shop Sale",Search,6/29/2022
Adidas,adidas? BoostTM Shoes - Up To 50% Off Select Products Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Shop For Back To School With Up To 50% Off Select Items. Shop adidas Shoes And Clothing. Energy To Endure Men's Shoes Shop Sale Originals adidas?NMD adidasNewArrivals,Search,6/29/2022
Adidas,"adidas Men's Shoes - 30% Off Kids Styles With Code Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. Save 30% Off Kids Styles With Code KiDS. Shop adidas? Back To School Men's Shoes Shop Men's Shoes. Lifestyle And Performance Footwear Shop Sale Shop Our Sale Styles Today. Discounts For Men, Women, & Kids",Search,6/29/2022
Adidas,"adidas Mens T Shirts - Up To 40% Off adidas Favorites Free Shipping For Members On All Orders. Shop adidas Stylish T Shirts Today Rating for adidas.com 4.5 → (274) Shop Sale Shop Our Sale Styles Today. Discounts For Men, Women, & Kids Shop Clothing Explore The Latest Shoes, Clothing & Accessories On adidas.com adidas New Arrivals Shop The Latest adidas Drops. New Shoes Clothing & More",Search,6/29/2022
Adidas,"New Stylish Underwear - adidas Official Store Sign Up For adiClub To Get Free Standard Shipping And Start Earning Points On Every Order. One of The Best Sales of The Season. For a Limited Time, Get Up to 50% Off",Search,6/29/2022
